kind,family,name,path,criterion_1,criterion_2,criterion_3,criterion_4,criterion_5,criterion_6,criterion_7,total,rating,evidence,required_fixes
skill,research-news-publishing-editorial,academic-literature-review,SKILLS/academic-literature-review/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; corrected sidecar short_description is within the 25-64 character range.",
skill,software-engineering-core,accessibility-audit,SKILLS/accessibility-audit/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,software-engineering-core,ai-evals,SKILLS/ai-evals/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,data-analytics-ml,analytics-engineering,SKILLS/analytics-engineering/SKILL.md,4,4,4,4,4,4,4,28,Ready,"Full package read found exceptional trigger discrimination, repeatable workflow, domain decision rules, reusable support, validation gates, owner-facing output, and bounded stops; package validation passed.",
skill,software-engineering-core,api-contract-review,SKILLS/api-contract-review/SKILL.md,4,4,4,4,4,4,4,28,Ready,"Full package read found exceptional trigger discrimination, repeatable workflow, domain decision rules, reusable support, validation gates, owner-facing output, and bounded stops; package validation passed.",
skill,software-engineering-core,architecture-decision-records,SKILLS/architecture-decision-records/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,legal-policy-procurement-finance-grants,audit-evidence-management,SKILLS/audit-evidence-management/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; corrected sidecar short_description is within the 25-64 character range.",
skill,research-news-publishing-editorial,book-metadata-packaging,SKILLS/book-metadata-packaging/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; corrected sidecar short_description is within the 25-64 character range.",
skill,research-news-publishing-editorial,citation-integrity-review,SKILLS/citation-integrity-review/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; corrected sidecar short_description is within the 25-64 character range.",
skill,meta-catalog,codex-subagent-designer,SKILLS/codex-subagent-designer/SKILL.md,4,4,4,4,4,4,4,28,Ready,"Full package read found exceptional trigger discrimination, repeatable workflow, domain decision rules, reusable support, validation gates, owner-facing output, and bounded stops; package validation passed.",
skill,product-ux-design-support-docs,competitive-research,SKILLS/competitive-research/SKILL.md,4,4,4,4,4,4,4,28,Ready,"Full package read found exceptional trigger discrimination, repeatable workflow, domain decision rules, reusable support, validation gates, owner-facing output, and bounded stops; package validation passed.",
skill,legal-policy-procurement-finance-grants,contract-review-operations,SKILLS/contract-review-operations/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,software-engineering-core,data-modeling,SKILLS/data-modeling/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,data-analytics-ml,data-science-workflows,SKILLS/data-science-workflows/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,software-engineering-core,dependency-risk-triage,SKILLS/dependency-risk-triage/SKILL.md,4,4,4,4,4,4,4,28,Ready,"Full package read found exceptional trigger discrimination, repeatable workflow, domain decision rules, reusable support, validation gates, owner-facing output, and bounded stops; package validation passed.",
skill,software-engineering-core,design-system-audit,SKILLS/design-system-audit/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,software-engineering-core,docs-information-architecture,SKILLS/docs-information-architecture/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,software-engineering-core,engineering-execution,SKILLS/engineering-execution/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; package validation passed.",
skill,research-news-publishing-editorial,fact-checking-source-review,SKILLS/fact-checking-source-review/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; corrected sidecar short_description is within the 25-64 character range.",
skill,research-news-publishing-editorial,fiction-development-workflows,SKILLS/fiction-development-workflows/SKILL.md,3,3,3,3,3,3,3,21,Ready,"Read SKILL.md, every reference, and agents/openai.yaml; domain workflow, decision rules, validation guidance, output contract, and stop conditions are specific and reusable; corrected sidecar short_description is within the 25-64 character range.",
